participant,condition,time,purity,RI,NMI
LR3,LR,35,0.429650954,0.879147981,0.296650734
LR3,LR,40,0.451601295,0.882040119,0.305760672
LR4,LR,5,0.222562073,0.653622185,0.144789691
LR4,LR,10,0.258186398,0.716128891,0.180450471
LR4,LR,15,0.34688737,0.753674422,0.226177634
LR4,LR,20,0.364519611,0.794970544,0.272995364
LR4,LR,25,0.363620007,0.827321262,0.280496457
LR4,LR,30,0.363620007,0.827321262,0.280496457
LR4,LR,35,0.363620007,0.827321262,0.280496457
LR4,LR,40,0.363620007,0.827321262,0.280496457
LR5,LR,5,0.184778697,0.703985708,0.114874291
LR5,LR,10,0.288053257,0.81124106,0.165421413
LR5,LR,15,0.346347607,0.838537936,0.242459921
LR5,LR,20,0.319719323,0.815799594,0.228967462
LR5,LR,25,0.347427132,0.839607359,0.265076411
LR5,LR,30,0.352644836,0.847847649,0.26767337
LR5,LR,35,0.354623965,0.835549961,0.265792684
LR5,LR,40,0.35984167,0.831387013,0.272778566
LR6,LR,5,0.287153652,0.803471213,0.175769634
LR6,LR,10,0.313602015,0.779665973,0.200098412
LR6,LR,15,0.306405182,0.786331689,0.206061954
LR6,LR,20,0.339150774,0.820038888,0.246105326
LR6,LR,25,0.34041022,0.824095508,0.260455893
LR6,LR,30,0.34706729,0.790775284,0.266859549
LR6,LR,35,0.359481828,0.80846969,0.280828282
LR6,LR,40,0.359481828,0.80846969,0.280828282
LR7,LR,5,0.309823678,0.822471785,0.198609206
LR7,LR,10,0.345987765,0.828701184,0.238347254
LR7,LR,15,0.38790932,0.858320874,0.268189977
LR7,LR,20,0.426052537,0.867002079,0.306110169
LR7,LR,25,0.435948183,0.872097623,0.317572994
LR7,LR,30,0.436487945,0.882434669,0.320052011
LR7,LR,35,0.435588341,0.882396529,0.318757851
LR7,LR,40,0.435588341,0.882396529,0.318757851
LR8,LR,5,0.291111911,0.776271081,0.166706407
LR8,LR,10,0.37495502,0.826961938,0.234338556
LR8,LR,15,0.368297949,0.844706076,0.258140033
LR8,LR,20,0.410759266,0.866685623,0.300616191
LR8,LR,25,0.410579345,0.864398747,0.300211919
LR8,LR,30,0.39654552,0.848372744,0.300180943
LR8,LR,35,0.373515653,0.82668168,0.272237718
LR8,LR,40,0.347786974,0.804773558,0.259158563
LR9,LR,5,0.21338611,0.715589485,0.113704888
LR9,LR,10,0.270600936,0.748615464,0.153737224
LR9,LR,15,0.300467794,0.804525872,0.188213942
LR9,LR,20,0.355343649,0.823821208,0.229124324
LR9,LR,25,0.36415977,0.829422745,0.247599077
LR9,LR,30,0.362180641,0.800835568,0.243510366
LR9,LR,35,0.366858582,0.813501386,0.257779175
LR9,LR,40,0.378733357,0.804956037,0.271505734
LR10,LR,5,0.259445844,0.754388602,0.152338606
LR10,LR,10,0.334832674,0.811229016,0.207671759
LR10,LR,15,0.338071249,0.801882586,0.237631033
LR10,LR,20,0.414717524,0.856811249,0.292649028
LR10,LR,25,0.436308024,0.879388027,0.309426258
LR10,LR,30,0.449802087,0.882027945,0.32834239
LR10,LR,35,0.445483987,0.878039446,0.32526875
LR10,LR,40,0.445483987,0.878039446,0.32526875
