seed,strategy,cycle,num_spans,max_docs,f1,mentions,entities,non-entities,pronouns,singletons
67,random,24,50,1,0.6885178413921368,0.8370379568690758,687.0,513.0,157.0,510.0
67,random,25,50,1,0.6840058389423804,0.8377015193241947,726.0,524.0,172.0,528.0
67,random,26,50,1,0.6604588493575051,0.8374664186815458,763.0,537.0,191.0,544.0
67,random,27,50,1,0.6742881688927707,0.8392634780656093,796.0,554.0,200.0,563.0
67,random,28,50,1,0.6911023563239281,0.8373674190916508,834.0,566.0,220.0,579.0
67,random,29,50,1,0.6496529184739293,0.8276061342208619,859.0,591.0,224.0,603.0
67,random,30,50,1,0.6593503656608579,0.8387440461268488,883.0,617.0,234.0,616.0
67,clust-ent,1,50,5,0.5693985894,0.6874002648,,,,
67,clust-ent,2,50,5,0.6262854097,0.7122500679,,,,
67,clust-ent,3,50,5,0.6475059706,0.7360926979,,,,
67,clust-ent,4,50,5,0.6531072522,0.7428738423,,,,
67,clust-ent,5,50,5,0.6612908049,0.7502108245,,,,
67,clust-ent,6,50,5,0.653468375,0.7378313418,,,,
67,cond-ent,1,50,5,0.463651857,0.6641675648,,,,
67,cond-ent,2,50,5,0.537921082,0.6762359389,,,,
67,cond-ent,3,50,5,0.5147433671,0.6486769124,,,,
67,cond-ent,4,50,5,0.4781019073,0.6343689747,,,,
67,cond-ent,5,50,5,0.5433175735,0.6510123707,,,,
67,cond-ent,6,50,5,0.5710927631,0.6873393462,,,,
67,joint-ent,1,50,5,0.5749090499,0.6599707018,,,,
67,joint-ent,2,50,5,0.6245688843,0.726073658,,,,
67,joint-ent,3,50,5,0.6459312472,0.748687877,,,,
67,joint-ent,4,50,5,0.675353356,0.797494149,,,,
67,joint-ent,5,50,5,0.6671082088,0.7998978147,,,,
67,joint-ent,6,50,5,0.6456678679,0.8040647892,,,,
67,li-ent,1,50,5,0.5937314300710846,0.679040724602875,,,,
67,li-ent,2,50,5,0.6537355075761359,0.7422805861177305,,,,
67,li-ent,3,50,5,0.6436364808915614,0.7252921773832309,,,,
67,li-ent,4,50,5,0.6500159921483203,0.7206029970602996,,,,
67,li-ent,5,50,5,0.67262250662551,0.7560053132699932,,,,
67,li-ent,6,50,5,0.6880653627922652,0.7902248131599915,,,,
67,ment-ent,1,50,5,0.6059261117,0.7052429943,,,,
67,ment-ent,2,50,5,0.6759827983,0.7837670384,,,,
67,ment-ent,3,50,5,0.6902690775,0.814281858,,,,
67,ment-ent,4,50,5,0.7047794232,0.8173668704,,,,
67,ment-ent,5,50,5,0.7053069408,0.8180125347,,,,
